,state,model,lower_90,pred,upper_90,rho
22,MA,CNNLSTM,11509.909042570063,16761.92469356471,25674.229650798097,0.9378789634579978
23,MA,LNN-AR_p-1,13003.44312517307,21880.197702291014,38831.57553670187,0.9378789634579978
24,MA,Imperial-TFT Model,6206.620177285327,14723.161334086868,37758.1803343413,0.9378789634579978
25,MA,UERJ-SARIMAX-2,9718.271470869551,18500.920544334924,35065.73343731236,0.9378789634579978
26,MA,Cornell PEH,5563.9803197847,12064.254195453022,29969.683441975267,0.9378789634579978
27,MA,Dengue oracle M2,24009.5572309082,38668.79355070708,62125.21997810215,0.9378789634579978
28,MA,LSTM-RF model,11678.07026524154,30777.288413138398,94732.54611533658,0.9378789634579978
29,MA,LNCC-CLIDENGO-1,5238.45340851972,18043.140800716574,79684.30892403824,0.9378789634579978
30,MA,Beat it,11102.689613378869,21790.2420305184,45179.307807729856,0.9378789634579978
31,MA,ISI_Dengue_Model,14271.15032312014,25087.20619946348,63855.87184281528,0.9378789634579978
32,MA,TSMixer ZKI-PH4,12369.575914529625,16475.381412825496,24775.338011618824,0.9378789634579978
33,MA,Chronos-Bolt,5743.63726867348,10991.01234842566,22856.38946213718,0.9378789634579978
34,PE,"Model fourier-
gravidade",11427.083825163732,54226.567380020904,300839.50604144007,0.9661054587489448
35,PE,Dengue Oracle M1,62363.665153202724,122199.10926317782,246426.87392747652,0.9661054587489448
36,PE,GHR Model,41788.287655344124,87176.94434133987,193717.3829543318,0.9661054587489448
37,PE,LNCC-SURGE-1,32821.89525608493,79460.81579460058,204743.2232754997,0.9661054587489448
38,PE,IMPA-TECH,15890.825570334222,112071.21217874947,999645.4447111848,0.9661054587489448
39,PE,CNNLSTM,54971.645664014686,74073.05700705953,106550.96641607225,0.9661054587489448
40,PE,LNN-AR_p-1,36461.04946462769,66779.34709106787,129053.29995881309,0.9661054587489448
41,PE,Imperial-TFT Model,24222.566209337427,67615.58290795595,213781.6072749776,0.9661054587489448
42,PE,UERJ-SARIMAX-2,23292.687841570507,59712.89048797096,164124.71832267518,0.9661054587489448
43,PE,Cornell PEH,19378.55940852354,52417.05391653233,159023.28609024346,0.9661054587489448
44,PE,Dengue oracle M2,66333.96928673341,121698.2098141095,223851.34356613908,0.9661054587489448
45,PE,LSTM-RF model,26403.77079269651,90086.4835524121,382835.43750849896,0.9661054587489448
46,PE,LNCC-CLIDENGO-1,8998.309361669544,38111.81839549268,205958.11700823982,0.9661054587489448
47,PE,Beat it,42746.23003718591,107755.94753463245,285387.8758409071,0.9661054587489448
48,PE,ISI_Dengue_Model,27450.685668054186,46230.74855958468,104895.6155544476,0.9661054587489448
49,PE,TSMixer ZKI-PH4,20679.790774161156,35928.416793189725,69856.80850210802,0.9661054587489448
50,PE,Chronos-Bolt,47789.90345304037,88752.62475164284,165233.61316749203,0.9661054587489448
51,TO,"Model fourier-
gravidade",7215.040221674794,21415.623077870572,71273.1677627636,0.9588997280809795
52,TO,Dengue Oracle M1,13159.806823079753,26715.880654484834,55309.025208707964,0.9588997280809795
53,TO,GHR Model,19368.828352248678,38143.9219401824,73669.10095227178,0.9588997280809795
54,TO,LNCC-SURGE-1,11859.74648404987,23477.947678932826,47740.35899131863,0.9588997280809795
55,TO,IMPA-TECH,14809.99532775147,52071.09707058039,243407.0304644414,0.9588997280809795
56,TO,CNNLSTM,18214.977852050666,23299.768601804673,30526.58396040792,0.9588997280809795
57,TO,LNN-AR_p-1,9899.310995835454,18317.064660893302,34359.33172831527,0.9588997280809795
58,TO,Imperial-TFT Model,9128.11198988396,17957.64955771112,37478.576896769024,0.9588997280809795
59,TO,UERJ-SARIMAX-2,10715.213624973816,20780.95145708366,41053.79579775749,0.9588997280809795
60,TO,Cornell PEH,7461.919646632699,16707.85744340886,38441.05549659674,0.9588997280809795
61,TO,Dengue oracle M2,12332.827542471083,24048.425410939693,48185.23215198858,0.9588997280809795
62,TO,LSTM-RF model,20986.000376577656,57750.362934379795,341369.68394722365,0.9588997280809795
63,TO,LNCC-CLIDENGO-1,3174.64827570182,12075.350731364424,52462.4498817369,0.9588997280809795
64,TO,Beat it,11096.182799250964,25180.52715037163,61044.039255852855,0.9588997280809795
65,TO,ISI_Dengue_Model,20050.37405886112,30521.00988837303,61497.02708231623,0.9588997280809795
66,TO,TSMixer ZKI-PH4,12309.096292283699,23848.0847446985,50693.62652382697,0.9588997280809795
67,TO,Chronos-Bolt,17780.41748548213,30016.041016037387,51956.62355787471,0.9588997280809795
68,DF,"Model fourier-
gravidade",22783.50865044252,63764.29374504338,213199.94613075053,0.9605100890298496
69,DF,Dengue Oracle M1,50220.95135464903,129087.34221909393,391523.0503716238,0.9605100890298496
70,DF,GHR Model,6610.814405779193,46380.07543205068,368931.26848887803,0.9605100890298496
71,DF,LNCC-SURGE-1,19801.263063146405,67442.81398866852,265521.1236301638,0.9605100890298496
72,DF,IMPA-TECH,64782.554080422866,338405.9353500316,2057352.8845117656,0.9605100890298496
73,DF,CNNLSTM,47735.80853031373,60860.36234818984,82940.34211317037,0.9605100890298496
74,DF,LNN-AR_p-1,46272.05458569086,113965.63991033754,290230.7607054432,0.9605100890298496
75,DF,Imperial-TFT Model,29154.687508618237,69821.38882557653,176040.06091073636,0.9605100890298496
76,DF,UERJ-SARIMAX-2,40225.74522701189,108790.86493943413,389995.1215785069,0.9605100890298496
77,DF,Cornell PEH,9771.080765487965,31800.190017017092,116995.21043171699,0.9605100890298496
78,DF,Dengue oracle M2,48626.20048625675,100680.18320859422,214870.20970051672,0.9605100890298496
79,DF,LSTM-RF model,47384.40181248252,158895.14292225352,837598.3564026146,0.9605100890298496
80,DF,LNCC-CLIDENGO-1,2708.2311728375357,11455.811759909146,56288.26267135025,0.9605100890298496
81,DF,Beat it,25146.496470180788,99913.41848471764,418781.11569893255,0.9605100890298496
82,DF,ISI_Dengue_Model,7656.290743294291,20789.434621716657,95303.65021050775,0.9605100890298496
83,DF,TSMixer ZKI-PH4,46471.084040142356,83780.49389604176,256993.6515381453,0.9605100890298496
84,DF,Chronos-Bolt,187445.1685755136,449195.36753489956,1181651.660871576,0.9605100890298496
85,PB,"Model fourier-
gravidade",7193.271522094867,28848.573810956146,137008.9953749162,0.9623530546591114
86,PB,Dengue Oracle M1,23787.073824139366,43012.92811079006,80482.32530742126,0.9623530546591114
87,PB,GHR Model,31647.31481737343,58214.35224266176,116666.66600697568,0.9623530546591114
88,PB,LNCC-SURGE-1,18274.552779937716,38874.267826276075,80632.43795011606,0.9623530546591114
89,PB,IMPA-TECH,22113.04035535542,143257.6787485027,1479105.8076363276,0.9623530546591114
90,PB,CNNLSTM,27618.969861759117,36870.44614964703,50856.47290252034,0.9623530546591114
91,PB,LNN-AR_p-1,14853.872818775002,26950.05673142947,51715.30759727059,0.9623530546591114
92,PB,Imperial-TFT Model,12542.5903049874,37251.51411146832,116742.18981709158,0.9623530546591114
93,PB,UERJ-SARIMAX-2,14875.500651703247,32080.87701305074,74608.13492850139,0.9623530546591114
94,PB,Cornell PEH,13037.648301682013,28894.38606025646,68355.03106051931,0.9623530546591114
95,PB,Dengue oracle M2,32476.285814286563,54420.71147711102,92858.01288725829,0.9623530546591114
96,PB,LSTM-RF model,19121.068732318323,72541.68295195553,409591.8316508445,0.9623530546591114
97,PB,LNCC-CLIDENGO-1,8798.145755199954,41128.70550580893,245733.08656749915,0.9623530546591114
98,PB,Beat it,27865.562510093594,60527.30069002613,142256.84212582302,0.9623530546591114
99,PB,ISI_Dengue_Model,33400.518626869045,55872.858146815895,117805.2390985665,0.9623530546591114
100,PB,TSMixer ZKI-PH4,33858.362712106435,46973.02163121088,78315.03325675978,0.9623530546591114
101,PB,Chronos-Bolt,22417.1174972333,36557.44028050844,62793.67612561678,0.9623530546591114
102,RO,"Model fourier-
gravidade",4543.407718005443,12813.875813342725,45730.13958319398,0.9253877518252092
103,RO,Dengue Oracle M1,19835.880442923288,34409.83048847588,61644.185250171206,0.9253877518252092
104,RO,GHR Model,12230.533202608704,18828.651219688185,29658.112679732334,0.9253877518252092
105,RO,LNCC-SURGE-1,7204.431434856887,16350.646260168916,41974.4644332396,0.9253877518252092
106,RO,IMPA-TECH,22924.518022960292,90178.90858681983,456297.98575202544,0.9253877518252092
107,RO,CNNLSTM,8904.378871289511,11548.297352956479,15259.104926617287,0.9253877518252092
108,RO,LNN-AR_p-1,8176.782485314388,14809.51671254675,27842.937481003028,0.9253877518252092
109,RO,Imperial-TFT Model,5893.406411262005,14179.308602474752,39150.95539737123,0.9253877518252092
110,RO,UERJ-SARIMAX-2,7116.576253460476,12571.685665034176,23886.6411923406,0.9253877518252092
111,RO,Cornell PEH,3269.9840767230903,8376.147318554136,29555.377839004035,0.9253877518252092
112,RO,Dengue oracle M2,19321.696101576952,32460.719373000346,53832.24502193766,0.9253877518252092
113,RO,LSTM-RF model,9891.652916125124,29458.99919906829,118976.6643027928,0.9253877518252092
114,RO,LNCC-CLIDENGO-1,8041.978237377684,26685.285919349713,102648.28207444269,0.9253877518252092
115,RO,Beat it,7499.398872480395,16786.661390943933,40346.39320606758,0.9253877518252092
116,RO,ISI_Dengue_Model,12610.071524719486,20377.511145554294,42981.407082181744,0.9253877518252092
117,RO,TSMixer ZKI-PH4,11769.242230390526,18071.343377093115,31169.802394402694,0.9253877518252092
118,RO,Chronos-Bolt,4522.17807105726,9445.442437351881,22157.14243352858,0.9253877518252092
119,RJ,"Model fourier-
gravidade",6390.831133465749,53806.048470274894,517984.1960890142,0.9831517581364922
120,RJ,Dengue Oracle M1,146519.43770769646,337201.26818019757,808332.2162522204,0.9831517581364922
121,RJ,GHR Model,39418.7320264441,88677.62980082165,200927.4136721988,0.9831517581364922
122,RJ,LNCC-SURGE-1,20082.919409854883,141397.12100428806,950896.5306129185,0.9831517581364922
123,RJ,IMPA-TECH,35645.34708656967,507998.574191705,9540422.5237297,0.9831517581364922
124,RJ,CNNLSTM,140801.7624230218,191767.226070188,292285.8067117181,0.9831517581364922
125,RJ,LNN-AR_p-1,44820.91506625693,114074.4296960596,302946.8706370502,0.9831517581364922
126,RJ,Imperial-TFT Model,20271.295464145358,92859.14558035845,608432.4364062598,0.9831517581364922
127,RJ,UERJ-SARIMAX-2,53037.058663822056,172910.14026493975,563754.3355223316,0.9831517581364922
128,RJ,Cornell PEH,19694.308392030813,66006.83264128154,239359.86672253397,0.9831517581364922
129,RJ,Dengue oracle M2,160628.65530605384,306310.5264475022,678753.2292497434,0.9831517581364922
130,RJ,LSTM-RF model,14736.627430827142,95123.75315008238,999171.8575805988,0.9831517581364922
131,RJ,LNCC-CLIDENGO-1,4309.186389525936,32664.19850434021,256983.495923947,0.9831517581364922
132,RJ,Beat it,10833.326104023754,60612.34950111537,354693.0789370293,0.9831517581364922
133,RJ,ISI_Dengue_Model,7012.860197609659,50228.79985409309,884380.5975560693,0.9831517581364922
134,RJ,TSMixer ZKI-PH4,69196.61797950989,121578.46332757038,306673.97475099575,0.9831517581364922
135,RJ,Chronos-Bolt,15190.002184720846,48321.160639196896,190745.35505676342,0.9831517581364922
136,AL,"Model fourier-
gravidade",7967.332877818247,29514.481594626184,124831.72145423954,0.9637796448329552
137,AL,Dengue Oracle M1,20316.510433674233,40792.451032464174,85808.57238847169,0.9637796448329552
138,AL,GHR Model,20594.70442503463,40400.253835846364,81645.638618139,0.9637796448329552
139,AL,LNCC-SURGE-1,15537.607807868595,41994.126460502695,125122.73495887262,0.9637796448329552
140,AL,IMPA-TECH,40689.97894949029,260123.46246406145,2516716.44235383,0.9637796448329552
141,AL,CNNLSTM,24976.564762435097,31940.09854954529,43333.481991557055,0.9637796448329552
142,AL,LNN-AR_p-1,16780.57619549761,35972.90683213657,78835.34407762531,0.9637796448329552
143,AL,Imperial-TFT Model,18607.15158713953,60501.72965803607,211293.43473324232,0.9637796448329552
144,AL,UERJ-SARIMAX-2,30169.4007394828,61494.737291281155,135975.98320999264,0.9637796448329552
145,AL,Cornell PEH,8027.458867872772,25139.018782312713,89216.36735747883,0.9637796448329552
146,AL,Dengue oracle M2,30686.576739557175,56234.96929122176,102567.51945567809,0.9637796448329552
147,AL,LSTM-RF model,19357.564358530886,71287.35327553541,329718.10241935664,0.9637796448329552
148,AL,LNCC-CLIDENGO-1,725.7525379947755,1742.6336556252631,4688.89958543141,0.9637796448329552
149,AL,Beat it,12464.925419631994,41160.28237598908,147177.44433772247,0.9637796448329552
150,AL,ISI_Dengue_Model,24316.05895078856,36371.93727739826,70765.52253093103,0.9637796448329552
151,AL,TSMixer ZKI-PH4,22735.383259392296,33551.5459740753,63602.013348617096,0.9637796448329552
152,AL,Chronos-Bolt,26028.210308076086,47801.41026579419,90304.85390305288,0.9637796448329552
153,GO,"Model fourier-
gravidade",182000.57878720312,366775.593046976,854203.4585948426,0.9692759243267128
154,GO,Dengue Oracle M1,182654.8074227449,277360.16937187966,427639.7031971286,0.9692759243267128
155,GO,GHR Model,263241.4770278509,489582.12370227196,953039.9578735665,0.9692759243267128
156,GO,LNCC-SURGE-1,140489.4810569625,288153.44105403015,597406.3905931078,0.9692759243267128
157,GO,IMPA-TECH,365261.7055227921,849722.7071373838,2304502.0785352415,0.9692759243267128
158,GO,CNNLSTM,211059.12314571728,255903.7061941766,323702.01831892494,0.9692759243267128
159,GO,LNN-AR_p-1,183938.80405075283,300083.5880559572,489153.5119549272,0.9692759243267128
160,GO,Imperial-TFT Model,218522.27812142475,448248.632986554,974091.3685794075,0.9692759243267128
161,GO,UERJ-SARIMAX-2,212944.12970405392,383521.61380646296,735330.097516254,0.9692759243267128
162,GO,Cornell PEH,136175.02882382035,233192.70312355607,415362.9934061078,0.9692759243267128
163,GO,Dengue oracle M2,191213.02683434656,272040.74329797085,392745.3650447131,0.9692759243267128
164,GO,LSTM-RF model,53462.3564860398,199706.2038459588,1160185.1726234525,0.9692759243267128
165,GO,LNCC-CLIDENGO-1,10344.474239565892,51401.50827926327,286630.80904707004,0.9692759243267128
166,GO,Beat it,229675.38980597255,356683.16905190947,558757.575279659,0.9692759243267128
167,GO,ISI_Dengue_Model,318546.8811843147,474373.0421657392,919503.3697206655,0.9692759243267128
168,GO,TSMixer ZKI-PH4,129710.82993282093,254728.6115425588,635718.4792146871,0.9692759243267128
169,GO,Chronos-Bolt,220102.753079081,383509.39404311916,695661.3607260432,0.9692759243267128
170,RN,"Model fourier-
gravidade",11358.974746144553,39227.78168436351,149024.2275514952,0.9638594769139932
171,RN,Dengue Oracle M1,28807.32287241023,61951.67607040971,137067.9560462997,0.9638594769139932
172,RN,GHR Model,28395.7314149113,54538.30936677215,112187.39443786102,0.9638594769139932
173,RN,LNCC-SURGE-1,25340.65481464722,61066.58083444112,146039.77060199363,0.9638594769139932
174,RN,IMPA-TECH,25454.15508953913,241888.68095612954,4816970.42492415,0.9638594769139932
175,RN,CNNLSTM,44289.63505183438,57041.18443415224,78093.90944053758,0.9638594769139932
176,RN,LNN-AR_p-1,32070.034189795995,62391.18257840723,127470.76458545502,0.9638594769139932
177,RN,Imperial-TFT Model,20562.171541173353,60653.893935301,201299.8182894344,0.9638594769139932
178,RN,UERJ-SARIMAX-2,28884.432954621698,62994.337520905814,138060.2344280333,0.9638594769139932
179,RN,Cornell PEH,14411.685410471728,37150.92431018667,110125.855206304,0.9638594769139932
180,RN,Dengue oracle M2,37151.70041504012,72026.45246227941,149116.54615400737,0.9638594769139932
181,RN,LSTM-RF model,14254.15948379966,53443.613887588785,283414.36730875744,0.9638594769139932
182,RN,LNCC-CLIDENGO-1,6292.792581820598,26713.22189396253,140099.33715129018,0.9638594769139932
183,RN,Beat it,23567.61256436621,63017.25510882701,187545.5354114604,0.9638594769139932
184,RN,ISI_Dengue_Model,34941.882026396765,53616.2587445556,113967.31032046262,0.9638594769139932
185,RN,TSMixer ZKI-PH4,20293.52560472452,33963.560499454295,70812.54858076689,0.9638594769139932
186,RN,Chronos-Bolt,25147.676561205237,49766.207378403255,106407.83989036891,0.9638594769139932
187,SC,"Model fourier-
gravidade",7592.497702120328,31308.418926310063,159073.22976882156,0.9121451736404522
188,SC,Dengue Oracle M1,149630.5744985354,258900.44470610056,498360.8054519917,0.9121451736404522
189,SC,GHR Model,56884.91820061101,97183.52113887697,170534.91173153772,0.9121451736404522
190,SC,LNCC-SURGE-1,4505.779894564966,47416.19318246211,776466.7659086075,0.9121451736404522
191,SC,IMPA-TECH,1300234.1547105052,15241741.28865696,358881111.26136976,0.9121451736404522
192,SC,CNNLSTM,29542.668401827712,39784.22612357589,63821.62074250566,0.9121451736404522
193,SC,LNN-AR_p-1,98601.80704166125,292196.55008998024,1125745.873774076,0.9121451736404522
194,SC,Imperial-TFT Model,16645.982068878962,45768.45685419813,146262.0510914497,0.9121451736404522
195,SC,UERJ-SARIMAX-2,386796.5518862035,840343.4539576404,2037953.9870830795,0.9121451736404522
196,SC,Cornell PEH,2764.3191574467837,10448.303642199218,59128.25149185239,0.9121451736404522
197,SC,Dengue oracle M2,227031.00742492426,296593.5084700758,395676.31024962617,0.9121451736404522
198,SC,LSTM-RF model,28377.847445303458,126071.28256834418,927506.4791587194,0.9121451736404522
199,SC,LNCC-CLIDENGO-1,2088.3943330926804,7045.434872830641,27798.137053432678,0.9121451736404522
200,SC,Beat it,41108.39190551987,167827.92430622433,923487.961510567,0.9121451736404522
201,SC,ISI_Dengue_Model,1373450.9581210841,1790019.5133087495,2671135.3910422414,0.9121451736404522
202,SC,TSMixer ZKI-PH4,166801.34681375133,307233.4000371067,731435.589840527,0.9121451736404522
203,SC,Chronos-Bolt,400209.55574436666,814851.078721697,1777555.9840239012,0.9121451736404522
204,PR,"Model fourier-
gravidade",13978.389128850315,71410.58846195831,455218.4824533847,0.979600476686332
205,PR,Dengue Oracle M1,252074.72403982127,468107.6540753717,957008.332972391,0.979600476686332
206,PR,GHR Model,227526.85931779523,399154.7953909911,716541.2173381777,0.979600476686332
207,PR,LNCC-SURGE-1,17890.84139443749,164846.0251204122,2058765.9392295699,0.979600476686332
208,PR,IMPA-TECH,346108.7711815188,4860633.562457295,110412583.07059067,0.979600476686332
209,PR,CNNLSTM,145895.8670139804,193889.8678891818,285245.6086400244,0.979600476686332
210,PR,LNN-AR_p-1,86840.70916714985,327692.5717414714,1408594.152035838,0.979600476686332
211,PR,Imperial-TFT Model,50560.80497404734,193808.84942776203,760170.278087537,0.979600476686332
212,PR,UERJ-SARIMAX-2,247581.58390760559,816477.9530185024,2984543.0391477123,0.979600476686332
213,PR,Cornell PEH,24553.781942486603,71618.40644900323,211721.63830715875,0.979600476686332
214,PR,Dengue oracle M2,360332.77559476456,502842.3633160725,755040.0995462843,0.979600476686332
215,PR,LSTM-RF model,98062.89454016095,294765.18903721427,1437224.6622903156,0.979600476686332
216,PR,LNCC-CLIDENGO-1,33098.38856878809,54196.956506371105,94503.024697808,0.979600476686332
217,PR,Beat it,78373.9803989348,341703.87874692853,1433257.7761755162,0.979600476686332
218,PR,ISI_Dengue_Model,253535.00520379454,430330.9468484214,1440652.378151929,0.979600476686332
219,PR,TSMixer ZKI-PH4,153985.69613249192,398916.7599797086,1823629.9656357523,0.979600476686332
220,PR,Chronos-Bolt,160131.67170964117,400325.0607633171,1096647.056065699,0.979600476686332
221,SP,"Model fourier-
gravidade",63558.21761457484,303156.29230557935,2046280.0692541017,0.9857719149995354
222,SP,Dengue Oracle M1,924962.3138650391,1632119.3813608908,3007204.2442727275,0.9857719149995354
223,SP,GHR Model,1005994.4227667591,1453362.499983653,2121764.7483923826,0.9857719149995354
224,SP,LNCC-SURGE-1,101512.79786476286,678150.9301579114,4752200.184209421,0.9857719149995354
225,SP,IMPA-TECH,919045.5883656444,15079213.970244681,269673818.5113861,0.9857719149995354
226,SP,CNNLSTM,503952.066405873,660821.4236672345,942715.137798095,0.9857719149995354
227,SP,LNN-AR_p-1,288356.3561516395,954608.0015468438,3407136.1622412335,0.9857719149995354
228,SP,Imperial-TFT Model,177526.08894314678,634889.4167373127,2372375.268223888,0.9857719149995354
229,SP,UERJ-SARIMAX-2,1282477.5562808728,5497194.084183151,24082679.80687891,0.9857719149995354
230,SP,Cornell PEH,213531.1385512142,360819.3824917227,665029.9424751203,0.9857719149995354
231,SP,Dengue oracle M2,1133703.6186005208,1617068.663535153,2350031.2990721706,0.9857719149995354
232,SP,LSTM-RF model,231017.07984570038,557748.6477159307,2277835.991211105,0.9857719149995354
233,SP,LNCC-CLIDENGO-1,17349.52576118411,107270.73779381774,1096056.836600911,0.9857719149995354
234,SP,Beat it,355307.8547167584,1008577.0504721007,3183220.855607164,0.9857719149995354
235,SP,ISI_Dengue_Model,680914.3464435982,1203076.2355684666,5847009.252187294,0.9857719149995354
236,SP,TSMixer ZKI-PH4,407369.45012683107,894614.8051772255,3357443.996455095,0.9857719149995354
237,SP,Chronos-Bolt,1356270.1851601384,3151195.7110135006,8249641.638917937,0.9857719149995354
238,AP,"Model fourier-
gravidade",1807.7496921254076,5359.468232097023,16955.507278463185,0.9173694277661132
239,AP,Dengue Oracle M1,4101.733436466324,7974.513163831984,16164.387369643373,0.9173694277661132
240,AP,GHR Model,572.2511806626859,1170.6494818605902,2765.3191172138727,0.9173694277661132
241,AP,LNCC-SURGE-1,1619.2877683512281,4163.291264454027,10471.341669558702,0.9173694277661132
242,AP,IMPA-TECH,8817.816275390906,37754.33782259349,213154.29535041272,0.9173694277661132
243,AP,CNNLSTM,2333.2764225584137,3418.6975472764243,5192.390961341972,0.9173694277661132
244,AP,LNN-AR_p-1,1890.1157600254653,4177.109836652133,10230.315347080346,0.9173694277661132
245,AP,Imperial-TFT Model,454.27813363778097,1022.3115477476763,2525.838463560902,0.9173694277661132
246,AP,UERJ-SARIMAX-2,3092.7658138986367,5481.141253795763,10048.081606112224,0.9173694277661132
247,AP,Cornell PEH,1171.4893374750084,2828.2361683316267,8122.265511803425,0.9173694277661132
248,AP,Dengue oracle M2,4436.25980495472,8285.745061747526,16555.709541312834,0.9173694277661132
249,AP,LSTM-RF model,7446.9843384925925,30299.228089715194,217831.8229352804,0.9173694277661132
250,AP,LNCC-CLIDENGO-1,8311.68768495509,24716.151155126157,89823.36251205973,0.9173694277661132
251,AP,Beat it,916.3537905250316,2555.688624371919,9001.248910064654,0.9173694277661132
252,AP,ISI_Dengue_Model,9609.104228273405,15227.505718078237,25700.097879852787,0.9173694277661132
253,AP,TSMixer ZKI-PH4,3737.8525761641595,6135.260950906946,12442.497904596486,0.9173694277661132
254,AP,Chronos-Bolt,1496.797431999245,3263.3005430683434,9289.144883696688,0.9173694277661132
255,PI,"Model fourier-
gravidade",5475.833269327431,21709.209705057998,94016.58508245874,0.9496235484541217
256,PI,Dengue Oracle M1,16413.174898693087,32779.40742608502,68686.53589347673,0.9496235484541217
257,PI,GHR Model,20678.785549638127,40334.77677741753,84096.96802535234,0.9496235484541217
258,PI,LNCC-SURGE-1,11628.103414668303,23098.67023965926,46944.74532194864,0.9496235484541217
259,PI,IMPA-TECH,53749.129182273944,290967.851715616,2597195.8196707116,0.9496235484541217
260,PI,CNNLSTM,17316.243251418015,22634.538592791883,31541.433602347483,0.9496235484541217
261,PI,LNN-AR_p-1,18080.344498635997,28156.015385675164,46510.9137956476,0.9496235484541217
262,PI,Imperial-TFT Model,12870.829293084416,25175.823821430684,53388.780565459696,0.9496235484541217
263,PI,UERJ-SARIMAX-2,15230.169861741639,27180.78814024607,49838.873596032354,0.9496235484541217
264,PI,Cornell PEH,8017.790111769458,16669.529535967165,40351.967950748214,0.9496235484541217
265,PI,Dengue oracle M2,25350.31006313029,45432.96775437769,84307.03963414101,0.9496235484541217
266,PI,LSTM-RF model,20693.346857793727,66361.63487675911,307445.87967919646,0.9496235484541217
267,PI,LNCC-CLIDENGO-1,4881.42058887205,18792.826750661818,85769.47987479725,0.9496235484541217
268,PI,Beat it,12890.388377915142,24782.04639802256,46481.71191254013,0.9496235484541217
269,PI,ISI_Dengue_Model,19783.91434947417,37657.60978090849,72691.1255957109,0.9496235484541217
270,PI,TSMixer ZKI-PH4,15194.255909981715,26868.30051313236,56636.79018990531,0.9496235484541217
271,PI,Chronos-Bolt,13111.388710350227,28223.626935808083,63187.77920547903,0.9496235484541217
272,MG,"Model fourier-
gravidade",86417.98049157414,245256.6967015603,896500.8524543117,0.9711452633339298
273,MG,Dengue Oracle M1,813022.7924377547,1266573.2253849357,2057809.425217881,0.9711452633339298
274,MG,GHR Model,700731.1149904842,987918.6119350756,1414829.9167167477,0.9711452633339298
275,MG,LNCC-SURGE-1,110473.35347657553,522039.18495589355,2603823.506125662,0.9711452633339298
276,MG,IMPA-TECH,428937.3851441776,3196829.936442938,26448595.134487078,0.9711452633339298
277,MG,CNNLSTM,382463.6607262388,493869.2033936097,701618.5339677319,0.9711452633339298
278,MG,LNN-AR_p-1,151554.94578433773,331379.3220317985,699835.8998951623,0.9711452633339298
279,MG,Imperial-TFT Model,105020.793022564,340534.8989650573,1333564.3535343634,0.9711452633339298
280,MG,UERJ-SARIMAX-2,312234.79926585534,898785.775672748,2719305.425187946,0.9711452633339298
281,MG,Cornell PEH,161161.7510586072,274617.6292580513,482532.3641232984,0.9711452633339298
282,MG,Dengue oracle M2,757052.2619111981,1086639.7075101514,1663010.4701398474,0.9711452633339298
283,MG,LSTM-RF model,206285.83262174416,447155.08325366676,1679330.1962020667,0.9711452633339298
284,MG,LNCC-CLIDENGO-1,4804.367763435727,22684.941440992057,116525.87617744275,0.9711452633339298
285,MG,Beat it,341502.62515630265,842807.2120867462,2081947.6676978543,0.9711452633339298
286,MG,ISI_Dengue_Model,219514.4527941126,334556.80290996644,861405.2719521854,0.9711452633339298
